,ori,agency_name,agency_type_name,state_name,state_abbr,division_name,region_name,region_desc,county_name,nibrs,latitude,longitude,nibrs_start_date
192,TX0080900,Independent School District: Sealy,Other,Texas,TX,West South Central,South,Region III,AUSTIN,False,29.772886,-96.15974,
193,TX0920000,Gregg County Sheriff's Office,County,Texas,TX,West South Central,South,Region III,GREGG,False,32.486397,-94.816276,
194,TX1010600,Galena Park Police Department,City,Texas,TX,West South Central,South,Region III,HARRIS,False,29.857273,-95.393037,
195,TX0320000,Camp County Sheriff's Office,County,Texas,TX,West South Central,South,Region III,CAMP,True,32.995636,-94.9661,01/01/2019
196,TX2140300,Roma Police Department,City,Texas,TX,West South Central,South,Region III,STARR,True,26.546335,-98.715803,12/01/2016
197,TX1170500,Stinnett Police Department,City,Texas,TX,West South Central,South,Region III,HUTCHINSON,False,35.837047,-101.362746,
198,TX0750800,Flatonia Police Department,City,Texas,TX,West South Central,South,Region III,FAYETTE,False,29.877886,-96.921231,
199,TX0150000,Bexar County Sheriff's Office,County,Texas,TX,West South Central,South,Region III,BEXAR,False,29.429178,-98.50717,
200,TX1740200,Nacogdoches Police Department,City,Texas,TX,West South Central,South,Region III,NACOGDOCHES,True,31.62056,-94.62025,09/01/1997
201,TX0200200,Angleton Police Department,City,Texas,TX,West South Central,South,Region III,BRAZORIA,True,29.182587,-95.432724,12/01/2019
202,TX1390400,Paris Junior College,University or College,Texas,TX,West South Central,South,Region III,LAMAR,False,33.667263,-95.570348,
203,TX2540000,Zavala County Sheriff's Office,County,Texas,TX,West South Central,South,Region III,ZAVALA,True,28.679815,-99.82764,09/01/2015
204,TX1082500,Independent School District: Edinburg,Other,Texas,TX,West South Central,South,Region III,HIDALGO,False,26.306498,-98.14821,
205,TX0311300,South Padre Island Police Department,City,Texas,TX,West South Central,South,Region III,CAMERON,True,26.102923,-97.478958,01/01/2018
206,TX2320100,Uvalde Police Department,City,Texas,TX,West South Central,South,Region III,UVALDE,False,29.35034,-99.761074,
207,TX0572800,University of Texas: Dallas,University or College,Texas,TX,West South Central,South,Region III,DALLAS,True,32.766987,-96.778424,05/01/2019
208,TX0950000,Hale County Sheriff's Office,County,Texas,TX,West South Central,South,Region III,HALE,False,34.1599,-101.70848,
209,TX0432500,Fairview Police Department,City,Texas,TX,West South Central,South,Region III,COLLIN,False,33.194745,-96.579846,
210,TX1011300,La Porte Police Department,City,Texas,TX,West South Central,South,Region III,HARRIS,True,29.857273,-95.393037,10/01/2019
211,TX2202700,Westover Hills Police Department,City,Texas,TX,West South Central,South,Region III,TARRANT,True,32.73811,-97.41003,05/01/2018
